Data;Descricao;Valor
02/09/2026;COMPRA CONTINENTE LISBOA;-45,20
03/09/2026;MB WAY UBER *TRIP HELP.UBER.COM;-8,50
04/09/2026;PAGAMENTO SERVICOS EDP COMERCIAL;-128,40
05/09/2026;COMPRA WORTEN ONLINE;-79,99
06/09/2026;TRF ORDENADO EMPRESA FICTICIA LDA;2100,00
07/09/2026;COMPRA GALP ENERGIA POSTO 4;-65,00
08/09/2026;COMPRA FARMACIA SAO BENTO;-18,25
09/09/2026;PAGAMENTO NOS COMUNICACOES;-54,90
09/09/2026;PAGAMENTO NOS COMUNICACOES;-54,90
10/09/2026;COMPRA MCDONALD'S LISBOA;-12,40
11/09/2026;COMPRA PINGO DOCE;-31,18
12/09/2026;COMPRA DECATHLON PORTUGAL;-59,90
13/09/2026;RESERVA TAP AIR PORTUGAL;-210,00
14/09/2026;COMPRA IKEA ALFRAGIDE ARTIGOS DIVE;
15/09/2026;COMPRA ZARA CHIADO;-89,00
16/09/2026;LEVANTAMENTO MULTIBANCO;-40,00
17/09/2026;COMPRA CINEMA NOS LUSOMUNDO;-14,00
18/09/2026;PAGAMENTO VODAFONE FIBRA;-39,90
19/09/2026;COMPRA FNAC LIVRARIA;-24,50
;;;###ERROR_ROW_CORRUPTED###
20/09/2026;COMPRA CONTINENTE LISBOA;-22,10
